5293,3,javax.swing.JDesktopPane.AccessibleJDesktopPane,"No summary available","All Implemented Interfaces: Serializable , AccessibleComponent , AccessibleExtendedComponent Enclosing class: JDesktopPane This class implements accessibility support for the JDesktopPane class.  It provides an implementation of the
 Java Accessibility API appropriate to desktop pane user-interface
 elements. Warning: Serialized objects of this class will not be compatible with
 future Swing releases. The current serialization support is
 appropriate for short term storage or..."
5295,3,javax.swing.JMenuItem.AccessibleJMenuItem,"No summary available","All Implemented Interfaces: Serializable , EventListener , AccessibleAction , AccessibleComponent , AccessibleExtendedComponent , AccessibleText , AccessibleValue , ChangeListener Direct Known Subclasses: JCheckBoxMenuItem.AccessibleJCheckBoxMenuItem , JMenu.AccessibleJMenu , JRadioButtonMenuItem.AccessibleJRadioButtonMenuItem Enclosing class: JMenuItem This class implements accessibility support for the JMenuItem class.  It provides an implementation of the
 Java Accessibili..."
5306,3,javax.swing.JFrame.AccessibleJFrame,"No summary available","All Implemented Interfaces: Serializable , AccessibleComponent Enclosing class: JFrame This class implements accessibility support for the JFrame class.  It provides an implementation of the
 Java Accessibility API appropriate to frame user-interface
 elements."
5311,3,javax.swing.Box.AccessibleBox,"No summary available","All Implemented Interfaces: Serializable , AccessibleComponent Enclosing class: Box This class implements accessibility support for the Box class."
5313,3,javax.swing.JColorChooser.AccessibleJColorChooser,"No summary available","All Implemented Interfaces: Serializable , AccessibleComponent , AccessibleExtendedComponent Enclosing class: JColorChooser This class implements accessibility support for the JColorChooser class.  It provides an implementation of the
 Java Accessibility API appropriate to color chooser user-interface
 elements."
5321,3,javax.swing.JScrollPane.AccessibleJScrollPane,"No summary available","All Implemented Interfaces: PropertyChangeListener , Serializable , EventListener , AccessibleComponent , AccessibleExtendedComponent , ChangeListener Enclosing class: JScrollPane This class implements accessibility support for the JScrollPane class.  It provides an implementation of the
 Java Accessibility API appropriate to scroll pane user-interface
 elements. Warning: Serialized objects of this class will not be compatible with
 future Swing releases. The current serializ..."
5329,3,javax.swing.ToolTipManager.stillInsideTimerAction,"No summary available","All Implemented Interfaces: ActionListener , EventListener Enclosing class: ToolTipManager Still inside timer action."
5333,3,javax.swing.JCheckBoxMenuItem.AccessibleJCheckBoxMenuItem,"No summary available","All Implemented Interfaces: Serializable , EventListener , AccessibleAction , AccessibleComponent , AccessibleExtendedComponent , AccessibleText , AccessibleValue , ChangeListener Enclosing class: JCheckBoxMenuItem This class implements accessibility support for the JCheckBoxMenuItem class.  It provides an implementation
 of the Java Accessibility API appropriate to checkbox menu item
 user-interface elements. Warning: Serialized objects of this class will not be compatible w..."
5334,3,javax.swing.JTabbedPane.ModelListener,"No summary available","All Implemented Interfaces: Serializable , EventListener , ChangeListener Enclosing class: JTabbedPane We pass ModelChanged events along to the listeners with
 the tabbedpane (instead of the model itself) as the event source."
5335,3,javax.swing.JRadioButtonMenuItem.AccessibleJRadioButtonMenuItem,"No summary available","All Implemented Interfaces: Serializable , EventListener , AccessibleAction , AccessibleComponent , AccessibleExtendedComponent , AccessibleText , AccessibleValue , ChangeListener Enclosing class: JRadioButtonMenuItem This class implements accessibility support for the JRadioButtonMenuItem class.  It provides an
 implementation of the Java Accessibility API appropriate to JRadioButtonMenuItem user-interface elements. Warning: Serialized objects of this class will not be compa..."
5337,3,javax.swing.JTextField.AccessibleJTextField,"No summary available","All Implemented Interfaces: Serializable , EventListener , AccessibleAction , AccessibleComponent , AccessibleEditableText , AccessibleExtendedComponent , AccessibleExtendedText , AccessibleText , CaretListener , DocumentListener Direct Known Subclasses: JPasswordField.AccessibleJPasswordField Enclosing class: JTextField This class implements accessibility support for the JTextField class.  It provides an implementation of the
 Java Accessibility API appropriate to text field..."
5338,3,javax.swing.AbstractButton.AccessibleAbstractButton,"No summary available","All Implemented Interfaces: Serializable , AccessibleAction , AccessibleComponent , AccessibleExtendedComponent , AccessibleText , AccessibleValue Direct Known Subclasses: JButton.AccessibleJButton , JMenuItem.AccessibleJMenuItem , JToggleButton.AccessibleJToggleButton Enclosing class: AbstractButton This class implements accessibility support for the AbstractButton class.  It provides an implementation of the
 Java Accessibility API appropriate to button and menu item
 user-..."
5340,3,javax.swing.JScrollBar.AccessibleJScrollBar,"No summary available","All Implemented Interfaces: Serializable , AccessibleComponent , AccessibleExtendedComponent , AccessibleValue Enclosing class: JScrollBar This class implements accessibility support for the JScrollBar class.  It provides an implementation of the
 Java Accessibility API appropriate to scroll bar user-interface
 elements. Warning: Serialized objects of this class will not be compatible with
 future Swing releases. The current serialization support is
 appropriate for short ter..."
5341,3,javax.swing.ToolTipManager.outsideTimerAction,"No summary available","All Implemented Interfaces: ActionListener , EventListener Enclosing class: ToolTipManager Outside timer action."
5342,3,javax.swing.JComponent.AccessibleJComponent.AccessibleFocusHandler,"No summary available","All Implemented Interfaces: FocusListener , EventListener Enclosing class: JComponent.AccessibleJComponent Deprecated. This class is no longer used or needed. java.awt.Component.AccessibleAWTComponent provides
 the same functionality and it is handled in Component . Fire PropertyChange listener, if one is registered,
 when focus events happen Since: 1.3"
5343,3,javax.swing.JPasswordField.AccessibleJPasswordField,"No summary available","All Implemented Interfaces: Serializable , EventListener , AccessibleAction , AccessibleComponent , AccessibleEditableText , AccessibleExtendedComponent , AccessibleExtendedText , AccessibleText , CaretListener , DocumentListener Enclosing class: JPasswordField This class implements accessibility support for the JPasswordField class.  It provides an implementation of the
 Java Accessibility API appropriate to password field user-interface
 elements. Warning: Serialized object..."
5345,3,javax.swing.ImageIcon.AccessibleImageIcon,"No summary available","All Implemented Interfaces: Serializable , AccessibleIcon Enclosing class: ImageIcon This class implements accessibility support for the ImageIcon class.  It provides an implementation of the
 Java Accessibility API appropriate to image icon user-interface
 elements. Warning: Serialized objects of this class will not be compatible with
 future Swing releases. The current serialization support is
 appropriate for short term storage or RMI between applications running
 the same..."
