orig_file_name	format	orig_size	orig_width	orig_height	orig_pixel_mode	orig_pixel_depth	out_image	compressed_size	compressed_width	compressed_height	compressed_pixel_mode	compressed_pixel_depth	tool_name	command	stdout	runtime
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook-plugin.png	PNG	301197	1950	1420	RGBA	32	kotlin_compressed/kotlin-notebook-plugin.png	175235	1950	1420	RGB	24	optipng	optipng -out kotlin_compressed/kotlin-notebook-plugin.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-notebook-plugin.png		1.2340623670024797
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/mascot-in-action.png	PNG	407394	8000	4500	RGBA	32	kotlin_compressed/mascot-in-action.png	361168	8000	4500	RGBA	32	optipng	optipng -out kotlin_compressed/mascot-in-action.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/mascot-in-action.png		9.205969968999852
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/xcode-spm-usage.png	PNG	146842	1758	498	RGBA	32	kotlin_compressed/xcode-spm-usage.png	92973	1758	498	RGB	24	optipng	optipng -out kotlin_compressed/xcode-spm-usage.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/xcode-spm-usage.png		0.4473481890017865
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/scratch-run.png	PNG	78795	1618	566	RGBA	32	kotlin_compressed/scratch-run.png	49364	1618	566	RGB	24	optipng	optipng -out kotlin_compressed/scratch-run.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/scratch-run.png		0.4454098310088739
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/atomic-kotlin.png	PNG	244012	703	888	RGBA	32	kotlin_compressed/atomic-kotlin.png	68659	703	888	RGB	24	optipng	optipng -out kotlin_compressed/atomic-kotlin.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/atomic-kotlin.png		0.4705196090071695
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/jvm-run-app-gradle.png	PNG	88779	746	404	RGBA	32	kotlin_compressed/jvm-run-app-gradle.png	64316	746	404	RGBA	32	optipng	optipng -out kotlin_compressed/jvm-run-app-gradle.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/jvm-run-app-gradle.png		0.3403808820003178
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-shell.png	PNG	46081	492	142	RGBA	32	kotlin_compressed/kotlin-shell.png	29265	492	142	RGB	24	optipng	optipng -out kotlin_compressed/kotlin-shell.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/kotlin-shell.png		0.09250556600454729
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/markdown-cells-output.png	PNG	212512	2102	766	RGBA	32	kotlin_compressed/markdown-cells-output.png	128274	2102	766	RGB	24	optipng	optipng -out kotlin_compressed/markdown-cells-output.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/markdown-cells-output.png		1.0183755729958648
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/retrieve-message-by-its-id.png	PNG	488450	2942	1686	RGBA	32	kotlin_compressed/retrieve-message-by-its-id.png	311945	2942	1686	RGBA	32	optipng	optipng -out kotlin_compressed/retrieve-message-by-its-id.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/retrieve-message-by-its-id.png		2.4486240289988928
/home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/devtools-console.png	PNG	237020	1282	744	RGBA	32	kotlin_compressed/devtools-console.png	175971	1282	744	RGBA	32	optipng	optipng -out kotlin_compressed/devtools-console.png  /home/elissa/ADFA/ADFA-ODT/SourceDocs/KotlinDocs/html/images/devtools-console.png		2.0979968609899515
